k,accuracy,f1_0,f1_1
8,0.89501312335958,0.8765432098765432,0.908675799086758
8,0.8661417322834646,0.8391167192429022,0.8853932584269663
8,0.8740157480314961,0.8431372549019608,0.8947368421052632
8,0.8976377952755905,0.877742946708464,0.9119638826185101
8,0.905511811023622,0.8860759493670886,0.9192825112107623
8,0.84251968503937,0.8051948051948052,0.8678414096916299
8,0.8923884514435696,0.8706624605678234,0.9078651685393259
8,0.9186351706036745,0.9057750759878419,0.9284064665127021
9,0.8923884514435696,0.8673139158576052,0.9094922737306843
9,0.8608923884514436,0.8317460317460318,0.8814317673378076
9,0.884514435695538,0.8650306748466258,0.8990825688073395
9,0.868766404199475,0.8417721518987342,0.8878923766816144
9,0.8713910761154856,0.8403908794788274,0.8923076923076924
9,0.884514435695538,0.8616352201257862,0.9009009009009009
9,0.9002624671916011,0.8805031446540881,0.9144144144144144
9,0.84251968503937,0.8051948051948052,0.8678414096916299
9,0.89501312335958,0.8734177215189873,0.9103139013452914
9,0.9212598425196851,0.9079754601226994,0.9311926605504587
10,0.89501312335958,0.8709677419354839,0.911504424778761
10,0.863517060367454,0.8354430379746836,0.8834080717488789
10,0.889763779527559,0.8703703703703703,0.9041095890410958
10,0.868766404199475,0.84375,0.8868778280542986
10,0.8740157480314961,0.8431372549019608,0.8947368421052632
10,0.8871391076115486,0.8643533123028391,0.903370786516854
10,0.9081364829396326,0.8881789137380192,0.9220489977728286
10,0.847769028871391,0.8116883116883117,0.8722466960352423
10,0.889763779527559,0.8662420382165605,0.90625
10,0.916010498687664,0.901840490797546,0.926605504587156
11,0.89501312335958,0.8717948717948718,0.9111111111111111
11,0.8608923884514436,0.8306709265175719,0.8819599109131403
11,0.8871391076115486,0.8668730650154799,0.9020501138952164
11,0.863517060367454,0.8364779874213837,0.8828828828828829
11,0.868766404199475,0.8376623376623377,0.8898678414096917
11,0.8740157480314961,0.85,0.8914027149321267
11,0.89501312335958,0.8742138364779874,0.9099099099099099
11,0.8530183727034121,0.8169934640522876,0.8771929824561403
11,0.889763779527559,0.8662420382165605,0.90625
