hyperparameters,k,accuracy,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
None,1,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,1.0
None,1,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,0.9714285714285714
None,1,0.9888888888888889,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9714285714285714,0.9411764705882353
None,1,0.9888888888888889,1.0,1.0,1.0,0.9714285714285714,0.972972972972973,1.0,1.0,0.9714285714285714,1.0,0.9714285714285714
None,1,0.9611111111111111,1.0,0.9473684210526315,0.9714285714285714,0.9,1.0,0.9714285714285714,1.0,1.0,0.9411764705882353,0.8823529411764706
None,1,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
None,1,0.9944444444444445,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,0.972972972972973,1.0,1.0
None,1,0.994413407821229,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,0.972972972972973
None,1,0.9720670391061452,1.0,0.95,1.0,1.0,1.0,0.9444444444444444,0.9444444444444444,1.0,0.9411764705882353,0.9411764705882353
None,1,0.994413407821229,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,0.972972972972973
None,2,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,1.0
None,2,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,0.9714285714285714
None,2,0.9888888888888889,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9714285714285714,0.9411764705882353
None,2,0.9888888888888889,1.0,1.0,1.0,0.9714285714285714,0.972972972972973,1.0,1.0,0.9714285714285714,1.0,0.9714285714285714
None,2,0.9611111111111111,1.0,0.9473684210526315,0.9714285714285714,0.9,1.0,0.9714285714285714,1.0,1.0,0.9411764705882353,0.8823529411764706
None,2,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
None,2,0.9944444444444445,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,0.972972972972973,1.0,1.0
None,2,0.994413407821229,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,0.972972972972973
None,2,0.9720670391061452,1.0,0.95,1.0,1.0,1.0,0.9444444444444444,0.9444444444444444,1.0,0.9411764705882353,0.9411764705882353
