hyperparameters,k,accuracy,f1_0,f1_1
ignore,5,0.8661417322834646,0.8401253918495298,0.8848758465011287
ignore,5,0.9028871391076115,0.8840125391849529,0.9164785553047404
ignore,6,0.8740157480314961,0.8410596026490066,0.8956521739130435
ignore,6,0.8792650918635171,0.85625,0.8959276018099548
ignore,6,0.8923884514435696,0.8730650154798761,0.9066059225512528
ignore,6,0.8976377952755905,0.8807339449541285,0.9103448275862069
ignore,6,0.8976377952755905,0.8753993610223643,0.9131403118040089
ignore,6,0.8766404199475065,0.8469055374592834,0.8967032967032967
ignore,6,0.8923884514435696,0.8746177370030581,0.9057471264367816
ignore,6,0.9002624671916011,0.8841463414634146,0.9124423963133641
ignore,6,0.8530183727034121,0.8227848101265823,0.874439461883408
ignore,6,0.8976377952755905,0.8785046728971962,0.9115646258503401
ignore,7,0.8661417322834646,0.8305647840531561,0.8893709327548807
ignore,7,0.8713910761154856,0.8473520249221184,0.8888888888888888
ignore,7,0.8871391076115486,0.8660436137071651,0.9024943310657596
ignore,7,0.9002624671916011,0.8841463414634146,0.9124423963133641
ignore,7,0.884514435695538,0.8571428571428571,0.9030837004405287
ignore,7,0.8818897637795275,0.8524590163934426,0.9015317286652079
ignore,7,0.89501312335958,0.875,0.9095022624434389
ignore,7,0.8923884514435696,0.8738461538461538,0.9061784897025171
ignore,7,0.8661417322834646,0.8370607028753994,0.8864142538975501
ignore,7,0.8923884514435696,0.8690095846645367,0.9086859688195991
ignore,8,0.8766404199475065,0.842809364548495,0.8984881209503239
ignore,8,0.8766404199475065,0.8526645768025078,0.8939051918735892
ignore,8,0.8871391076115486,0.8668730650154799,0.9020501138952164
ignore,8,0.9002624671916011,0.8827160493827161,0.91324200913242
ignore,8,0.9028871391076115,0.8802588996763754,0.9183222958057395
ignore,8,0.884514435695538,0.8552631578947368,0.9039301310043668
ignore,8,0.889763779527559,0.8679245283018868,0.9054054054054054
ignore,8,0.9002624671916011,0.8841463414634146,0.9124423963133641
ignore,8,0.8530183727034121,0.8205128205128205,0.8755555555555555
ignore,8,0.9028871391076115,0.8832807570977917,0.9168539325842696
ignore,9,0.8740157480314961,0.8389261744966443,0.896551724137931
ignore,9,0.8713910761154856,0.848297213622291,0.8883826879271071
ignore,9,0.8871391076115486,0.8660436137071651,0.9024943310657596
ignore,9,0.8923884514435696,0.8753799392097265,0.9053117782909931
ignore,9,0.8766404199475065,0.8469055374592834,0.8967032967032967
ignore,9,0.8818897637795275,0.8514851485148515,0.9019607843137255
ignore,9,0.8766404199475065,0.8544891640866873,0.8929384965831435
ignore,9,0.889763779527559,0.8703703703703703,0.9041095890410958
ignore,9,0.868766404199475,0.8397435897435898,0.8888888888888888
ignore,9,0.9002624671916011,0.8789808917197452,0.9151785714285714
ignore,10,0.8661417322834646,0.8282828282828283,0.8903225806451613
ignore,10,0.868766404199475,0.84472049689441,0.8863636363636364
ignore,10,0.889763779527559,0.8695652173913043,0.9045454545454545
ignore,10,0.89501312335958,0.8773006134969326,0.908256880733945
ignore,10,0.889763779527559,0.864516129032258,0.9070796460176991
ignore,10,0.8766404199475065,0.8438538205980066,0.8980477223427332
ignore,10,0.884514435695538,0.8633540372670807,0.9
ignore,10,0.9002624671916011,0.8827160493827161,0.91324200913242
ignore,10,0.8503937007874016,0.8167202572347267,0.8736141906873615
ignore,10,0.910761154855643,0.8924050632911392,0.9237668161434978
ignore,11,0.8766404199475065,0.8417508417508418,0.8989247311827957
ignore,11,0.8713910761154856,0.8492307692307692,0.8878718535469108
ignore,11,0.884514435695538,0.8633540372670807,0.9
ignore,11,0.884514435695538,0.8658536585365854,0.8986175115207373
ignore,11,0.8792650918635171,0.8496732026143791,0.8991228070175439
ignore,11,0.8740157480314961,0.8410596026490066,0.8956521739130435
ignore,11,0.8766404199475065,0.8526645768025078,0.8939051918735892
ignore,11,0.9028871391076115,0.8854489164086687,0.9157175398633257
ignore,11,0.8608923884514436,0.8295819935691319,0.8824833702882483
ignore,11,0.89501312335958,0.8734177215189873,0.9103139013452914
