ntree,accuracy,f1_0,f1_1
1,0.916010498687664,0.9041916167664671,0.9252336448598131
1,0.8923884514435696,0.8776119402985074,0.9039812646370023
1,0.9238845144356955,0.9118541033434651,0.9330254041570438
1,0.916010498687664,0.9024390243902439,0.9262672811059908
1,0.889763779527559,0.875,0.9014084507042254
1,0.9133858267716536,0.9003021148036254,0.9234338747099768
1,0.9133858267716536,0.8996960486322189,0.9237875288683602
1,0.9028871391076115,0.8840125391849529,0.9164785553047404
1,0.9396325459317585,0.9292307692307692,0.9473684210526315
1,0.9396325459317585,0.9274447949526814,0.9483146067415731
2,0.916010498687664,0.9,0.9276018099547512
2,0.9002624671916011,0.8848484848484849,0.9120370370370371
2,0.9238845144356955,0.9118541033434651,0.9330254041570438
2,0.9238845144356955,0.9118541033434651,0.9330254041570438
2,0.8818897637795275,0.8632218844984803,0.8960739030023095
2,0.9186351706036745,0.9074626865671642,0.927400468384075
2,0.9186351706036745,0.9046153846153846,0.9290617848970252
2,0.9081364829396326,0.890282131661442,0.9209932279909706
2,0.926509186351706,0.9141104294478528,0.9357798165137615
2,0.931758530183727,0.9192546583850931,0.9409090909090909
5,0.9133858267716536,0.8996960486322189,0.9237875288683602
5,0.8923884514435696,0.8753799392097265,0.9053117782909931
5,0.9448818897637795,0.9353846153846154,0.9519450800915332
5,0.926509186351706,0.9151515151515152,0.9351851851851852
5,0.9002624671916011,0.8827160493827161,0.91324200913242
5,0.916010498687664,0.9036144578313253,0.9255813953488372
5,0.9291338582677166,0.9194029850746268,0.936768149882904
5,0.926509186351706,0.9113924050632911,0.9372197309417041
5,0.931758530183727,0.9182389937106918,0.9414414414414415
5,0.94750656167979,0.9386503067484663,0.9541284403669725
10,0.9212598425196851,0.9085365853658537,0.9308755760368663
10,0.9002624671916011,0.8841463414634146,0.9124423963133641
10,0.9501312335958005,0.9411764705882353,0.9567198177676538
10,0.9291338582677166,0.9179331306990881,0.9376443418013857
10,0.910761154855643,0.896969696969697,0.9212962962962963
10,0.916010498687664,0.9036144578313253,0.9255813953488372
10,0.9133858267716536,0.9003021148036254,0.9234338747099768
10,0.9238845144356955,0.9102167182662538,0.9339407744874715
10,0.9396325459317585,0.9296636085626911,0.9471264367816092
10,0.9422572178477691,0.9333333333333333,0.9490740740740741
20,0.9238845144356955,0.9123867069486404,0.9327146171693735
20,0.8976377952755905,0.8807339449541285,0.9103448275862069
20,0.952755905511811,0.9444444444444444,0.958904109589041
20,0.931758530183727,0.9207317073170732,0.9400921658986175
20,0.9081364829396326,0.8936170212765957,0.9191685912240185
20,0.916010498687664,0.9036144578313253,0.9255813953488372
20,0.9238845144356955,0.9118541033434651,0.9330254041570438
20,0.9238845144356955,0.9090909090909091,0.9345372460496614
20,0.937007874015748,0.9259259259259259,0.9452054794520548
20,0.94750656167979,0.9390243902439024,0.9539170506912442
50,0.9212598425196851,0.9090909090909091,0.9305555555555556
50,0.905511811023622,0.8909090909090909,0.9166666666666666
50,0.94750656167979,0.9386503067484663,0.9541284403669725
50,0.9343832020997376,0.9244712990936556,0.9419953596287703
50,0.9028871391076115,0.8861538461538462,0.9153318077803204
50,0.916010498687664,0.9036144578313253,0.9255813953488372
50,0.926509186351706,0.9161676646706587,0.9345794392523364
50,0.931758530183727,0.9182389937106918,0.9414414414414415
50,0.9396325459317585,0.9292307692307692,0.9473684210526315
50,0.94750656167979,0.9386503067484663,0.9541284403669725
100,0.9212598425196851,0.9079754601226994,0.9311926605504587
100,0.8976377952755905,0.8821752265861027,0.9095127610208816
100,0.9448818897637795,0.9353846153846154,0.9519450800915332
100,0.931758530183727,0.9212121212121213,0.9398148148148148
100,0.9081364829396326,0.8929663608562691,0.9195402298850575
100,0.916010498687664,0.9036144578313253,0.9255813953488372
100,0.926509186351706,0.9156626506024096,0.9348837209302325
100,0.931758530183727,0.9197530864197531,0.9406392694063926
100,0.9396325459317585,0.9292307692307692,0.9473684210526315
100,0.9396325459317585,0.9296636085626911,0.9471264367816092
