hyperparameters,ntree,accuracy,f1_0,f1_1
minimal_size_for_split=10,1,0.910761154855643,0.8975903614457831,0.9209302325581395
minimal_size_for_split=10,1,0.910761154855643,0.8975903614457831,0.9209302325581395
minimal_size_for_split=5,1,0.910761154855643,0.8975903614457831,0.9209302325581395
minimal_size_for_split=10,1,0.910761154855643,0.8975903614457831,0.9209302325581395
minimal_size_for_split=10,1,0.910761154855643,0.8975903614457831,0.9209302325581395
minimal_size_for_split=2,1,0.910761154855643,0.8975903614457831,0.9209302325581395
minimal_size_for_split=10,1,0.910761154855643,0.8975903614457831,0.9209302325581395
minimal_size_for_split=2,1,0.910761154855643,0.8975903614457831,0.9209302325581395
minimal_size_for_split=5,1,0.910761154855643,0.8975903614457831,0.9209302325581395
minimal_size_for_split=2,1,0.910761154855643,0.8975903614457831,0.9209302325581395
minimal_size_for_split=5,1,0.910761154855643,0.8975903614457831,0.9209302325581395
minimal_size_for_split=2,1,0.910761154855643,0.8975903614457831,0.9209302325581395
minimal_size_for_split=5,1,0.910761154855643,0.8975903614457831,0.9209302325581395
minimal_size_for_split=5,1,0.910761154855643,0.8975903614457831,0.9209302325581395
minimal_size_for_split=2,1,0.910761154855643,0.8975903614457831,0.9209302325581395
minimal_size_for_split=10,1,0.916010498687664,0.9012345679012346,0.9269406392694064
minimal_size_for_split=20,1,0.910761154855643,0.8975903614457831,0.9209302325581395
minimal_size_for_split=10,1,0.9133858267716536,0.897196261682243,0.9251700680272109
minimal_size_for_split=2,1,0.916010498687664,0.9012345679012346,0.9269406392694064
minimal_size_for_split=2,1,0.916010498687664,0.9012345679012346,0.9269406392694064
minimal_size_for_split=2,1,0.916010498687664,0.9012345679012346,0.9269406392694064
minimal_size_for_split=2,1,0.916010498687664,0.9012345679012346,0.9269406392694064
minimal_size_for_split=5,1,0.916010498687664,0.9012345679012346,0.9269406392694064
minimal_size_for_split=5,1,0.916010498687664,0.9012345679012346,0.9269406392694064
minimal_size_for_split=5,1,0.916010498687664,0.9012345679012346,0.9269406392694064
minimal_size_for_split=10,1,0.916010498687664,0.9012345679012346,0.9269406392694064
minimal_size_for_split=5,1,0.916010498687664,0.9012345679012346,0.9269406392694064
minimal_size_for_split=10,1,0.916010498687664,0.9012345679012346,0.9269406392694064
minimal_size_for_split=10,1,0.916010498687664,0.9012345679012346,0.9269406392694064
minimal_size_for_split=10,1,0.916010498687664,0.9012345679012346,0.9269406392694064
minimal_size_for_split=20,1,0.916010498687664,0.9012345679012346,0.9269406392694064
minimal_size_for_split=2,1,0.916010498687664,0.9012345679012346,0.9269406392694064
minimal_size_for_split=5,1,0.916010498687664,0.9012345679012346,0.9269406392694064
minimal_size_for_split=10,1,0.889763779527559,0.874251497005988,0.9018691588785047
minimal_size_for_split=2,1,0.9133858267716536,0.897196261682243,0.9251700680272109
minimal_size_for_split=2,1,0.9133858267716536,0.897196261682243,0.9251700680272109
minimal_size_for_split=2,1,0.9133858267716536,0.897196261682243,0.9251700680272109
minimal_size_for_split=5,1,0.9133858267716536,0.897196261682243,0.9251700680272109
minimal_size_for_split=5,1,0.9133858267716536,0.897196261682243,0.9251700680272109
minimal_size_for_split=10,1,0.9133858267716536,0.897196261682243,0.9251700680272109
minimal_size_for_split=5,1,0.9133858267716536,0.897196261682243,0.9251700680272109
minimal_size_for_split=10,1,0.9133858267716536,0.897196261682243,0.9251700680272109
minimal_size_for_split=10,1,0.9133858267716536,0.897196261682243,0.9251700680272109
minimal_size_for_split=20,1,0.9133858267716536,0.897196261682243,0.9251700680272109
minimal_size_for_split=10,1,0.9133858267716536,0.897196261682243,0.9251700680272109
minimal_size_for_split=2,1,0.9133858267716536,0.897196261682243,0.9251700680272109
minimal_size_for_split=5,1,0.9133858267716536,0.897196261682243,0.9251700680272109
minimal_size_for_split=2,1,0.9133858267716536,0.897196261682243,0.9251700680272109
minimal_size_for_split=5,1,0.9133858267716536,0.897196261682243,0.9251700680272109
minimal_size_for_split=10,1,0.931758530183727,0.9207317073170732,0.9400921658986175
minimal_size_for_split=2,1,0.889763779527559,0.874251497005988,0.9018691588785047
minimal_size_for_split=2,1,0.889763779527559,0.874251497005988,0.9018691588785047
minimal_size_for_split=2,1,0.889763779527559,0.874251497005988,0.9018691588785047
minimal_size_for_split=5,1,0.889763779527559,0.874251497005988,0.9018691588785047
minimal_size_for_split=10,1,0.889763779527559,0.874251497005988,0.9018691588785047
minimal_size_for_split=5,1,0.889763779527559,0.874251497005988,0.9018691588785047
minimal_size_for_split=20,1,0.889763779527559,0.874251497005988,0.9018691588785047
minimal_size_for_split=10,1,0.889763779527559,0.874251497005988,0.9018691588785047
minimal_size_for_split=10,1,0.889763779527559,0.874251497005988,0.9018691588785047
minimal_size_for_split=10,1,0.889763779527559,0.874251497005988,0.9018691588785047
minimal_size_for_split=5,1,0.889763779527559,0.874251497005988,0.9018691588785047
minimal_size_for_split=5,1,0.889763779527559,0.874251497005988,0.9018691588785047
minimal_size_for_split=2,1,0.889763779527559,0.874251497005988,0.9018691588785047
minimal_size_for_split=2,1,0.889763779527559,0.874251497005988,0.9018691588785047
minimal_size_for_split=5,1,0.889763779527559,0.874251497005988,0.9018691588785047
minimal_size_for_split=10,1,0.889763779527559,0.8695652173913043,0.9045454545454545
minimal_size_for_split=2,1,0.931758530183727,0.9207317073170732,0.9400921658986175
minimal_size_for_split=2,1,0.931758530183727,0.9207317073170732,0.9400921658986175
minimal_size_for_split=5,1,0.931758530183727,0.9207317073170732,0.9400921658986175
minimal_size_for_split=5,1,0.931758530183727,0.9207317073170732,0.9400921658986175
minimal_size_for_split=10,1,0.931758530183727,0.9207317073170732,0.9400921658986175
minimal_size_for_split=10,1,0.931758530183727,0.9207317073170732,0.9400921658986175
minimal_size_for_split=10,1,0.931758530183727,0.9207317073170732,0.9400921658986175
minimal_size_for_split=20,1,0.931758530183727,0.9207317073170732,0.9400921658986175
minimal_size_for_split=5,1,0.931758530183727,0.9207317073170732,0.9400921658986175
minimal_size_for_split=10,1,0.931758530183727,0.9207317073170732,0.9400921658986175
minimal_size_for_split=5,1,0.931758530183727,0.9207317073170732,0.9400921658986175
minimal_size_for_split=2,1,0.931758530183727,0.9207317073170732,0.9400921658986175
minimal_size_for_split=2,1,0.931758530183727,0.9207317073170732,0.9400921658986175
minimal_size_for_split=5,1,0.931758530183727,0.9207317073170732,0.9400921658986175
minimal_size_for_split=10,1,0.9028871391076115,0.8875379939209727,0.9145496535796767
minimal_size_for_split=2,1,0.931758530183727,0.9207317073170732,0.9400921658986175
minimal_size_for_split=5,1,0.889763779527559,0.8695652173913043,0.9045454545454545
minimal_size_for_split=2,1,0.889763779527559,0.8695652173913043,0.9045454545454545
minimal_size_for_split=2,1,0.889763779527559,0.8695652173913043,0.9045454545454545
minimal_size_for_split=10,1,0.889763779527559,0.8695652173913043,0.9045454545454545
minimal_size_for_split=5,1,0.889763779527559,0.8695652173913043,0.9045454545454545
minimal_size_for_split=10,1,0.889763779527559,0.8695652173913043,0.9045454545454545
minimal_size_for_split=20,1,0.889763779527559,0.8695652173913043,0.9045454545454545
minimal_size_for_split=10,1,0.889763779527559,0.8695652173913043,0.9045454545454545
minimal_size_for_split=10,1,0.889763779527559,0.8695652173913043,0.9045454545454545
minimal_size_for_split=5,1,0.889763779527559,0.8695652173913043,0.9045454545454545
minimal_size_for_split=5,1,0.889763779527559,0.8695652173913043,0.9045454545454545
minimal_size_for_split=2,1,0.889763779527559,0.8695652173913043,0.9045454545454545
minimal_size_for_split=2,1,0.889763779527559,0.8695652173913043,0.9045454545454545
minimal_size_for_split=5,1,0.889763779527559,0.8695652173913043,0.9045454545454545
minimal_size_for_split=10,1,0.9002624671916011,0.8805031446540881,0.9144144144144144
minimal_size_for_split=2,1,0.889763779527559,0.8695652173913043,0.9045454545454545
minimal_size_for_split=2,1,0.9028871391076115,0.8875379939209727,0.9145496535796767
minimal_size_for_split=5,1,0.9028871391076115,0.8875379939209727,0.9145496535796767
minimal_size_for_split=2,1,0.9028871391076115,0.8875379939209727,0.9145496535796767
minimal_size_for_split=5,1,0.9028871391076115,0.8875379939209727,0.9145496535796767
minimal_size_for_split=10,1,0.9028871391076115,0.8875379939209727,0.9145496535796767
minimal_size_for_split=20,1,0.9028871391076115,0.8875379939209727,0.9145496535796767
minimal_size_for_split=10,1,0.9028871391076115,0.8875379939209727,0.9145496535796767
minimal_size_for_split=10,1,0.9028871391076115,0.8875379939209727,0.9145496535796767
minimal_size_for_split=10,1,0.9028871391076115,0.8875379939209727,0.9145496535796767
minimal_size_for_split=5,1,0.9028871391076115,0.8875379939209727,0.9145496535796767
minimal_size_for_split=5,1,0.9028871391076115,0.8875379939209727,0.9145496535796767
minimal_size_for_split=2,1,0.9028871391076115,0.8875379939209727,0.9145496535796767
minimal_size_for_split=2,1,0.9028871391076115,0.8875379939209727,0.9145496535796767
minimal_size_for_split=5,1,0.9028871391076115,0.8875379939209727,0.9145496535796767
minimal_size_for_split=10,1,0.9343832020997376,0.9226006191950464,0.9430523917995444
minimal_size_for_split=2,1,0.9028871391076115,0.8875379939209727,0.9145496535796767
minimal_size_for_split=5,1,0.9002624671916011,0.8805031446540881,0.9144144144144144
minimal_size_for_split=2,1,0.9002624671916011,0.8805031446540881,0.9144144144144144
minimal_size_for_split=2,1,0.9002624671916011,0.8805031446540881,0.9144144144144144
minimal_size_for_split=5,1,0.9002624671916011,0.8805031446540881,0.9144144144144144
minimal_size_for_split=10,1,0.9002624671916011,0.8805031446540881,0.9144144144144144
minimal_size_for_split=10,1,0.9002624671916011,0.8805031446540881,0.9144144144144144
minimal_size_for_split=20,1,0.9002624671916011,0.8805031446540881,0.9144144144144144
minimal_size_for_split=10,1,0.9002624671916011,0.8805031446540881,0.9144144144144144
minimal_size_for_split=5,1,0.9002624671916011,0.8805031446540881,0.9144144144144144
minimal_size_for_split=10,1,0.9002624671916011,0.8805031446540881,0.9144144144144144
minimal_size_for_split=5,1,0.9002624671916011,0.8805031446540881,0.9144144144144144
minimal_size_for_split=2,1,0.9002624671916011,0.8805031446540881,0.9144144144144144
minimal_size_for_split=2,1,0.9002624671916011,0.8805031446540881,0.9144144144144144
minimal_size_for_split=5,1,0.9002624671916011,0.8805031446540881,0.9144144144144144
minimal_size_for_split=10,1,0.9186351706036745,0.9051987767584098,0.9287356321839081
minimal_size_for_split=2,1,0.9002624671916011,0.8805031446540881,0.9144144144144144
minimal_size_for_split=5,1,0.9343832020997376,0.9226006191950464,0.9430523917995444
minimal_size_for_split=2,1,0.9343832020997376,0.9226006191950464,0.9430523917995444
minimal_size_for_split=10,1,0.9343832020997376,0.9226006191950464,0.9430523917995444
minimal_size_for_split=10,1,0.9343832020997376,0.9226006191950464,0.9430523917995444
minimal_size_for_split=2,1,0.9343832020997376,0.9226006191950464,0.9430523917995444
minimal_size_for_split=20,1,0.9343832020997376,0.9226006191950464,0.9430523917995444
minimal_size_for_split=5,1,0.9343832020997376,0.9226006191950464,0.9430523917995444
minimal_size_for_split=10,1,0.9343832020997376,0.9226006191950464,0.9430523917995444
minimal_size_for_split=10,1,0.9343832020997376,0.9226006191950464,0.9430523917995444
minimal_size_for_split=5,1,0.9343832020997376,0.9226006191950464,0.9430523917995444
minimal_size_for_split=5,1,0.9343832020997376,0.9226006191950464,0.9430523917995444
minimal_size_for_split=2,1,0.9343832020997376,0.9226006191950464,0.9430523917995444
minimal_size_for_split=2,1,0.9343832020997376,0.9226006191950464,0.9430523917995444
minimal_size_for_split=5,1,0.9343832020997376,0.9226006191950464,0.9430523917995444
minimal_size_for_split=2,1,0.9343832020997376,0.9226006191950464,0.9430523917995444
minimal_size_for_split=5,1,0.9186351706036745,0.9051987767584098,0.9287356321839081
minimal_size_for_split=2,1,0.9186351706036745,0.9051987767584098,0.9287356321839081
minimal_size_for_split=10,1,0.9186351706036745,0.9051987767584098,0.9287356321839081
minimal_size_for_split=20,1,0.9186351706036745,0.9051987767584098,0.9287356321839081
minimal_size_for_split=10,1,0.9186351706036745,0.9051987767584098,0.9287356321839081
minimal_size_for_split=2,1,0.9186351706036745,0.9051987767584098,0.9287356321839081
minimal_size_for_split=5,1,0.9186351706036745,0.9051987767584098,0.9287356321839081
minimal_size_for_split=10,1,0.9186351706036745,0.9051987767584098,0.9287356321839081
minimal_size_for_split=5,1,0.9186351706036745,0.9051987767584098,0.9287356321839081
minimal_size_for_split=10,1,0.9186351706036745,0.9051987767584098,0.9287356321839081
minimal_size_for_split=5,1,0.9186351706036745,0.9051987767584098,0.9287356321839081
minimal_size_for_split=2,1,0.9186351706036745,0.9051987767584098,0.9287356321839081
minimal_size_for_split=2,1,0.9186351706036745,0.9051987767584098,0.9287356321839081
minimal_size_for_split=5,1,0.9186351706036745,0.9051987767584098,0.9287356321839081
