hyperparameters,ntree,accuracy,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
minimal_size_for_split=40,10,0.8944444444444445,1.0,0.8421052631578947,0.8387096774193549,0.8823529411764706,0.8888888888888888,0.9714285714285714,0.9444444444444444,0.8780487804878049,0.7567567567567568,0.9444444444444444
minimal_size_for_split=30,10,0.9222222222222223,0.9714285714285714,0.9714285714285714,0.918918918918919,0.8717948717948718,0.9444444444444444,0.972972972972973,1.0,0.9230769230769231,0.8125,0.8235294117647058
minimal_size_for_split=20,10,0.9388888888888889,1.0,0.918918918918919,0.9411764705882353,0.9473684210526315,0.918918918918919,1.0,1.0,0.918918918918919,0.7878787878787878,0.9444444444444444
minimal_size_for_split=5,2,0.7333333333333333,0.7804878048780488,0.6153846153846154,0.8571428571428571,0.7647058823529411,0.7428571428571429,0.8205128205128205,0.9090909090909091,0.6153846153846154,0.5,0.7272727272727273
minimal_size_for_split=10,5,0.8777777777777778,1.0,0.918918918918919,1.0,0.7894736842105263,0.8108108108108109,0.918918918918919,0.9714285714285714,0.8571428571428571,0.75,0.7567567567567568
minimal_size_for_split=50,20,0.9333333333333333,1.0,0.9714285714285714,0.9714285714285714,0.9444444444444444,0.8648648648648649,0.972972972972973,0.972972972972973,0.85,0.8484848484848485,0.9411764705882353
minimal_size_for_split=40,20,0.95,1.0,0.918918918918919,1.0,0.9714285714285714,0.8888888888888888,0.9473684210526315,1.0,0.8947368421052632,0.9032258064516129,0.972972972972973
minimal_size_for_split=30,20,0.95,1.0,0.9444444444444444,0.9411764705882353,0.9142857142857143,0.9142857142857143,1.0,1.0,0.9,0.918918918918919,0.9714285714285714
minimal_size_for_split=10,10,0.95,1.0,0.9714285714285714,0.9444444444444444,0.9714285714285714,0.918918918918919,0.972972972972973,1.0,0.9714285714285714,0.8571428571428571,0.8947368421052632
minimal_size_for_split=20,20,0.9611111111111111,0.9714285714285714,0.9444444444444444,1.0,0.918918918918919,0.9473684210526315,0.9473684210526315,1.0,0.9714285714285714,0.9411764705882353,0.9714285714285714
minimal_size_for_split=5,5,0.8888888888888888,0.9230769230769231,0.7567567567567568,0.8484848484848485,0.9444444444444444,0.972972972972973,0.9142857142857143,0.9473684210526315,0.9444444444444444,0.7878787878787878,0.8333333333333334
minimal_size_for_split=40,50,0.9611111111111111,1.0,0.972972972972973,0.9714285714285714,0.972972972972973,0.9142857142857143,0.972972972972973,1.0,0.9230769230769231,0.9090909090909091,0.9714285714285714
