hyperparameters,k,accuracy,f1_0,f1_1
None,1,0.868766404199475,0.8511904761904762,0.8826291079812206
None,1,0.9028871391076115,0.8854489164086687,0.9157175398633257
None,1,0.8792650918635171,0.8571428571428571,0.8954545454545455
None,1,0.8398950131233596,0.805111821086262,0.8641425389755011
None,1,0.863517060367454,0.8395061728395061,0.8812785388127854
None,1,0.8661417322834646,0.8495575221238938,0.8794326241134752
None,1,0.8503937007874016,0.8267477203647416,0.8683602771362586
None,1,0.8792650918635171,0.8571428571428571,0.8954545454545455
None,1,0.8530183727034121,0.825,0.8733031674208145
None,1,0.8530183727034121,0.8303030303030303,0.8703703703703703
None,2,0.868766404199475,0.8511904761904762,0.8826291079812206
None,2,0.9028871391076115,0.8854489164086687,0.9157175398633257
None,2,0.8792650918635171,0.8571428571428571,0.8954545454545455
None,2,0.8398950131233596,0.805111821086262,0.8641425389755011
None,2,0.863517060367454,0.8395061728395061,0.8812785388127854
None,2,0.8661417322834646,0.8495575221238938,0.8794326241134752
None,2,0.8503937007874016,0.8267477203647416,0.8683602771362586
None,2,0.8792650918635171,0.8571428571428571,0.8954545454545455
None,2,0.8530183727034121,0.825,0.8733031674208145
None,2,0.8530183727034121,0.8303030303030303,0.8703703703703703
None,3,0.8740157480314961,0.852760736196319,0.8899082568807339
None,3,0.905511811023622,0.8888888888888888,0.9178082191780822
None,3,0.89501312335958,0.8734177215189873,0.9103139013452914
None,3,0.8451443569553806,0.8090614886731392,0.869757174392936
None,3,0.889763779527559,0.8711656441717791,0.9036697247706422
None,3,0.8818897637795275,0.8615384615384616,0.897025171624714
None,3,0.905511811023622,0.8853503184713376,0.9196428571428571
None,3,0.9133858267716536,0.8952380952380953,0.9261744966442953
None,3,0.8923884514435696,0.8706624605678234,0.9078651685393259
None,3,0.8661417322834646,0.8440366972477065,0.8827586206896552
None,4,0.8792650918635171,0.8606060606060606,0.8935185185185185
None,4,0.910761154855643,0.8944099378881988,0.9227272727272727
None,4,0.910761154855643,0.8924050632911392,0.9237668161434978
None,4,0.847769028871391,0.8104575163398693,0.8728070175438597
None,4,0.889763779527559,0.8711656441717791,0.9036697247706422
None,4,0.8792650918635171,0.8597560975609756,0.8940092165898618
None,4,0.905511811023622,0.8860759493670886,0.9192825112107623
None,4,0.916010498687664,0.9,0.9276018099547512
None,4,0.8871391076115486,0.8652037617554859,0.9029345372460497
None,4,0.863517060367454,0.8414634146341463,0.880184331797235
None,5,0.8766404199475065,0.8571428571428571,0.8914549653579676
None,5,0.916010498687664,0.9006211180124224,0.9272727272727272
None,5,0.905511811023622,0.8853503184713376,0.9196428571428571
None,5,0.847769028871391,0.8066666666666666,0.8744588744588745
None,5,0.8818897637795275,0.8580441640378549,0.898876404494382
None,5,0.8818897637795275,0.8606811145510835,0.89749430523918
None,5,0.9002624671916011,0.879746835443038,0.9147982062780269
