hyperparameters,k,accuracy,f1_0,f1_1
1,1,0.8582677165354331,0.8373493975903614,0.8744186046511628
1,1,0.884514435695538,0.8641975308641975,0.8995433789954338
1,1,0.8293963254593176,0.8024316109422492,0.8498845265588915
1,1,0.8871391076115486,0.8700906344410876,0.9002320185614849
1,1,0.884514435695538,0.8633540372670807,0.9
1,1,0.889763779527559,0.8719512195121951,0.9032258064516129
1,1,0.8451443569553806,0.8161993769470405,0.8662131519274376
1,1,0.8923884514435696,0.8690095846645367,0.9086859688195991
1,1,0.868766404199475,0.8427672955974843,0.8873873873873874
1,1,0.84251968503937,0.8192771084337349,0.8604651162790697
1,2,0.8582677165354331,0.8373493975903614,0.8744186046511628
1,2,0.884514435695538,0.8641975308641975,0.8995433789954338
1,2,0.8293963254593176,0.8024316109422492,0.8498845265588915
1,2,0.8871391076115486,0.8700906344410876,0.9002320185614849
1,2,0.884514435695538,0.8633540372670807,0.9
1,2,0.889763779527559,0.8719512195121951,0.9032258064516129
1,2,0.8451443569553806,0.8161993769470405,0.8662131519274376
1,2,0.8923884514435696,0.8690095846645367,0.9086859688195991
1,2,0.868766404199475,0.8427672955974843,0.8873873873873874
1,2,0.84251968503937,0.8192771084337349,0.8604651162790697
1,3,0.8740157480314961,0.8545454545454545,0.8888888888888888
1,3,0.884514435695538,0.8633540372670807,0.9
1,3,0.8582677165354331,0.8322981366459627,0.8772727272727273
1,3,0.905511811023622,0.8909090909090909,0.9166666666666666
1,3,0.9133858267716536,0.8952380952380953,0.9261744966442953
1,3,0.8976377952755905,0.877742946708464,0.9119638826185101
1,3,0.8766404199475065,0.8478964401294499,0.8962472406181016
1,3,0.889763779527559,0.864516129032258,0.9070796460176991
1,3,0.9133858267716536,0.8958990536277602,0.9258426966292135
1,3,0.8740157480314961,0.8490566037735849,0.8918918918918919
1,4,0.8766404199475065,0.8571428571428571,0.8914549653579676
1,4,0.89501312335958,0.8757763975155279,0.9090909090909091
1,4,0.8556430446194225,0.8307692307692308,0.8741418764302059
1,4,0.9081364829396326,0.8942598187311178,0.9187935034802784
1,4,0.9081364829396326,0.8888888888888888,0.9217002237136466
1,4,0.8923884514435696,0.8722741433021807,0.9070294784580499
1,4,0.8713910761154856,0.8434504792332268,0.89086859688196
1,4,0.9028871391076115,0.8810289389067524,0.917960088691796
1,4,0.9133858267716536,0.8952380952380953,0.9261744966442953
1,4,0.8818897637795275,0.8606811145510835,0.89749430523918
1,5,0.8713910761154856,0.8492307692307692,0.8878718535469108
1,5,0.884514435695538,0.8607594936708861,0.9013452914798207
1,5,0.8661417322834646,0.8380952380952381,0.8859060402684564
1,5,0.89501312335958,0.8780487804878049,0.9078341013824884
1,5,0.9081364829396326,0.889589905362776,0.9213483146067416
1,5,0.8766404199475065,0.8488745980707395,0.8957871396895787
1,5,0.8792650918635171,0.8544303797468354,0.8968609865470852
1,5,0.8976377952755905,0.8745980707395499,0.9135254988913526
1,5,0.9081364829396326,0.889589905362776,0.9213483146067416
1,5,0.863517060367454,0.8395061728395061,0.8812785388127854
1,6,0.8740157480314961,0.852760736196319,0.8899082568807339
1,6,0.89501312335958,0.8742138364779874,0.9099099099099099
1,6,0.847769028871391,0.8198757763975155,0.8681818181818182
1,6,0.9002624671916011,0.8834355828220859,0.9128440366972477
1,6,0.9081364829396326,0.889589905362776,0.9213483146067416
1,6,0.8792650918635171,0.8525641025641025,0.8977777777777778
1,6,0.8818897637795275,0.8562300319488818,0.8997772828507795
1,6,0.89501312335958,0.8726114649681529,0.9107142857142857
1,6,0.905511811023622,0.8846153846153846,0.92
1,6,0.863517060367454,0.8395061728395061,0.8812785388127854
1,7,0.8792650918635171,0.8580246913580247,0.8949771689497716
1,7,0.89501312335958,0.8726114649681529,0.9107142857142857
1,7,0.8530183727034121,0.8227848101265823,0.874439461883408
1,7,0.8923884514435696,0.8730650154798761,0.9066059225512528
1,7,0.9133858267716536,0.8958990536277602,0.9258426966292135
1,7,0.863517060367454,0.832258064516129,0.8849557522123894
1,7,0.8661417322834646,0.8370607028753994,0.8864142538975501
1,7,0.8818897637795275,0.8534201954397395,0.9010989010989011
1,7,0.9002624671916011,0.8774193548387097,0.915929203539823
1,7,0.863517060367454,0.8395061728395061,0.8812785388127854
1,8,0.884514435695538,0.8633540372670807,0.9
1,8,0.889763779527559,0.8670886075949367,0.905829596412556
1,8,0.8556430446194225,0.8264984227129337,0.8764044943820225
1,8,0.905511811023622,0.8881987577639752,0.9181818181818182
1,8,0.9133858267716536,0.8958990536277602,0.9258426966292135
1,8,0.8740157480314961,0.8451612903225807,0.8938053097345132
1,8,0.8661417322834646,0.8360128617363344,0.8869179600886918
1,8,0.8923884514435696,0.8664495114006515,0.9098901098901099
1,8,0.9028871391076115,0.8802588996763754,0.9183222958057395
1,8,0.868766404199475,0.8466257668711656,0.8853211009174312
1,9,0.8766404199475065,0.8544891640866873,0.8929384965831435
1,9,0.8923884514435696,0.8698412698412699,0.9082774049217002
1,9,0.8556430446194225,0.8242811501597445,0.8775055679287305
1,9,0.89501312335958,0.875,0.9095022624434389
1,9,0.910761154855643,0.8924050632911392,0.9237668161434978
1,9,0.8556430446194225,0.8231511254019293,0.8780487804878049
1,9,0.8740157480314961,0.8451612903225807,0.8938053097345132
1,9,0.8818897637795275,0.8514851485148515,0.9019607843137255
1,9,0.9081364829396326,0.8859934853420195,0.9230769230769231
1,9,0.868766404199475,0.845679012345679,0.8858447488584474
1,10,0.884514435695538,0.8633540372670807,0.9
1,10,0.8871391076115486,0.8626198083067093,0.9042316258351893
1,10,0.8582677165354331,0.8269230769230769,0.88
1,10,0.9028871391076115,0.8854489164086687,0.9157175398633257
1,10,0.916010498687664,0.8980891719745223,0.9285714285714286
1,10,0.863517060367454,0.8333333333333334,0.8844444444444445
1,10,0.8766404199475065,0.8478964401294499,0.8962472406181016
1,10,0.884514435695538,0.8562091503267973,0.9035087719298246
1,10,0.905511811023622,0.8823529411764706,0.9210526315789473
1,10,0.8740157480314961,0.8509316770186336,0.8909090909090909
1,11,0.8818897637795275,0.8623853211009175,0.896551724137931
1,11,0.884514435695538,0.8589743589743589,0.9022222222222223
1,11,0.863517060367454,0.8333333333333334,0.8844444444444445
1,11,0.8871391076115486,0.8652037617554859,0.9029345372460497
1,11,0.9081364829396326,0.889589905362776,0.9213483146067416
1,11,0.8503937007874016,0.8167202572347267,0.8736141906873615
1,11,0.8608923884514436,0.8284789644012945,0.8830022075055187
1,11,0.8818897637795275,0.8504983388704319,0.9023861171366594
1,11,0.905511811023622,0.8838709677419355,0.9203539823008849
1,11,0.868766404199475,0.84472049689441,0.8863636363636364
