ntree,accuracy,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
1,0.7722222222222223,0.8571428571428571,0.8,0.9090909090909091,0.7777777777777778,0.7,0.7894736842105263,0.8888888888888888,0.8387096774193549,0.5,0.7222222222222222
1,0.7611111111111111,0.7878787878787878,0.7058823529411765,0.8108108108108109,0.8205128205128205,0.8125,0.7619047619047619,0.8823529411764706,0.75,0.5263157894736842,0.7692307692307693
1,0.7666666666666667,0.8717948717948718,0.7368421052631579,0.6470588235294118,0.8333333333333334,0.7894736842105263,0.8108108108108109,0.7692307692307693,0.8823529411764706,0.4827586206896552,0.7777777777777778
1,0.7166666666666667,0.9230769230769231,0.6842105263157895,0.6896551724137931,0.5454545454545454,0.8823529411764706,0.7,0.918918918918919,0.75,0.43243243243243246,0.6341463414634146
1,0.6833333333333333,0.7619047619047619,0.5641025641025641,0.7368421052631579,0.6666666666666666,0.6875,0.5882352941176471,0.7777777777777778,0.8235294117647058,0.5,0.7222222222222222
1,0.7722222222222223,0.8235294117647058,0.8888888888888888,0.8421052631578947,0.8,0.6363636363636364,0.8888888888888888,0.8125,0.6842105263157895,0.5806451612903226,0.7777777777777778
1,0.7888888888888889,0.9444444444444444,0.7777777777777778,0.7567567567567568,0.7894736842105263,0.8,0.85,0.8484848484848485,0.7096774193548387,0.7567567567567568,0.625
1,0.6703910614525139,0.7222222222222222,0.5714285714285714,0.7777777777777778,0.5454545454545454,0.6486486486486487,0.5625,0.8571428571428571,0.7368421052631579,0.5454545454545454,0.75
1,0.7653631284916201,0.7567567567567568,0.8571428571428571,0.8,0.7222222222222222,0.7878787878787878,0.7647058823529411,0.8421052631578947,0.7894736842105263,0.4827586206896552,0.7894736842105263
1,0.7597765363128491,0.8108108108108109,0.6341463414634146,0.8648648648648649,0.7619047619047619,0.8484848484848485,0.8333333333333334,0.8205128205128205,0.625,0.6206896551724138,0.75
2,0.7722222222222223,0.8571428571428571,0.7727272727272727,0.7647058823529411,0.7058823529411765,0.6896551724137931,0.8947368421052632,0.9411764705882353,0.7222222222222222,0.6486486486486487,0.717948717948718
2,0.7555555555555555,0.8095238095238095,0.6470588235294118,0.8235294117647058,0.7441860465116279,0.7878787878787878,0.9230769230769231,0.8888888888888888,0.7272727272727273,0.5142857142857142,0.6451612903225806
2,0.7111111111111111,0.8421052631578947,0.6666666666666666,0.8,0.7878787878787878,0.8648648648648649,0.5641025641025641,0.8421052631578947,0.7878787878787878,0.4444444444444444,0.5142857142857142
2,0.8055555555555556,0.9444444444444444,0.6666666666666666,0.8108108108108109,0.7368421052631579,0.7777777777777778,0.7647058823529411,0.918918918918919,0.9032258064516129,0.8333333333333334,0.7222222222222222
2,0.7166666666666667,0.8095238095238095,0.6451612903225806,0.75,0.7272727272727273,0.8888888888888888,0.7272727272727273,0.7777777777777778,0.9,0.46153846153846156,0.4
2,0.7388888888888889,0.918918918918919,0.6341463414634146,0.7586206896551724,0.5405405405405406,0.6857142857142857,0.7428571428571429,0.8333333333333334,0.8108108108108109,0.6285714285714286,0.8421052631578947
2,0.7555555555555555,0.972972972972973,0.6857142857142857,0.8571428571428571,0.8108108108108109,0.8717948717948718,0.7428571428571429,0.8333333333333334,0.6341463414634146,0.48484848484848486,0.625
2,0.7039106145251397,0.8235294117647058,0.6341463414634146,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.7428571428571429,0.8387096774193549,0.47058823529411764,0.7777777777777778
2,0.7262569832402235,0.8823529411764706,0.5945945945945946,0.8823529411764706,0.6666666666666666,0.7096774193548387,0.6842105263157895,0.7142857142857143,0.75,0.5882352941176471,0.7894736842105263
2,0.776536312849162,0.8421052631578947,0.7894736842105263,0.7058823529411765,0.7391304347826086,0.918918918918919,0.8125,0.9090909090909091,0.8125,0.7058823529411765,0.5294117647058824
5,0.9166666666666666,1.0,0.9,0.9714285714285714,0.8484848484848485,0.926829268292683,0.9142857142857143,0.9714285714285714,0.8947368421052632,0.8125,0.9142857142857143
5,0.8944444444444445,0.972972972972973,0.918918918918919,0.8823529411764706,0.972972972972973,0.8571428571428571,0.9473684210526315,0.9411764705882353,0.8717948717948718,0.8,0.7647058823529411
5,0.8944444444444445,0.972972972972973,0.8108108108108109,0.9142857142857143,0.8947368421052632,0.972972972972973,0.7368421052631579,0.9411764705882353,0.972972972972973,0.9032258064516129,0.8333333333333334
5,0.9055555555555556,0.972972972972973,0.8421052631578947,0.972972972972973,0.8648648648648649,0.9714285714285714,0.9142857142857143,0.9473684210526315,0.8823529411764706,0.7647058823529411,0.9142857142857143
5,0.8777777777777778,0.9444444444444444,0.85,0.8823529411764706,0.918918918918919,0.9411764705882353,0.8823529411764706,0.972972972972973,0.8717948717948718,0.7058823529411765,0.8
5,0.8777777777777778,0.972972972972973,0.8947368421052632,0.8888888888888888,0.8421052631578947,0.9444444444444444,0.8333333333333334,0.8571428571428571,0.9714285714285714,0.7741935483870968,0.7894736842105263
5,0.9222222222222223,1.0,0.8888888888888888,0.9,1.0,0.9714285714285714,0.972972972972973,1.0,0.9473684210526315,0.6060606060606061,0.9090909090909091
5,0.88268156424581,1.0,0.875,0.9714285714285714,0.7027027027027027,0.8780487804878049,0.9411764705882353,0.9444444444444444,0.8108108108108109,0.8,0.9142857142857143
5,0.8603351955307262,0.9696969696969697,0.926829268292683,0.9142857142857143,0.7777777777777778,0.9444444444444444,0.8333333333333334,0.972972972972973,0.8484848484848485,0.7027027027027027,0.7058823529411765
5,0.9050279329608939,0.9444444444444444,0.8717948717948718,0.9444444444444444,0.9473684210526315,0.8108108108108109,0.9714285714285714,0.9142857142857143,0.9714285714285714,0.7096774193548387,0.9444444444444444
10,0.9611111111111111,1.0,0.972972972972973,1.0,0.972972972972973,0.9230769230769231,0.9444444444444444,1.0,0.9142857142857143,0.9696969696969697,0.9142857142857143
10,0.9388888888888889,0.9714285714285714,0.9444444444444444,1.0,0.9714285714285714,0.8947368421052632,0.95,0.9411764705882353,0.918918918918919,0.9032258064516129,0.8947368421052632
10,0.9333333333333333,1.0,0.8717948717948718,0.9714285714285714,0.972972972972973,0.9230769230769231,0.8717948717948718,0.9411764705882353,0.9714285714285714,0.9032258064516129,0.9142857142857143
10,0.9166666666666666,0.972972972972973,0.8648648648648649,0.9142857142857143,0.9142857142857143,0.9444444444444444,0.9444444444444444,1.0,0.9375,0.8421052631578947,0.8333333333333334
10,0.9277777777777778,1.0,0.8717948717948718,0.9444444444444444,0.9473684210526315,0.9444444444444444,0.9714285714285714,0.9714285714285714,0.918918918918919,0.7647058823529411,0.9411764705882353
10,0.9333333333333333,1.0,0.8571428571428571,0.9714285714285714,0.9473684210526315,0.9444444444444444,0.9090909090909091,1.0,0.9230769230769231,0.8717948717948718,0.9090909090909091
10,0.9277777777777778,1.0,0.8648648648648649,0.8421052631578947,1.0,0.9714285714285714,0.9473684210526315,1.0,0.972972972972973,0.7647058823529411,0.9090909090909091
10,0.9553072625698324,0.972972972972973,0.972972972972973,0.9714285714285714,0.8947368421052632,1.0,0.9411764705882353,1.0,0.9473684210526315,0.875,0.9714285714285714
10,0.9497206703910615,0.9696969696969697,1.0,0.918918918918919,0.9444444444444444,1.0,1.0,1.0,0.9444444444444444,0.8571428571428571,0.8571428571428571
10,0.9385474860335196,0.9714285714285714,0.8947368421052632,0.9696969696969697,0.9230769230769231,0.9714285714285714,0.9473684210526315,0.918918918918919,0.9473684210526315,0.9375,0.9090909090909091
20,0.9555555555555556,0.9444444444444444,1.0,1.0,0.9714285714285714,0.972972972972973,0.972972972972973,0.972972972972973,0.9714285714285714,0.8823529411764706,0.8648648648648649
20,0.9555555555555556,0.9714285714285714,0.972972972972973,0.9714285714285714,0.972972972972973,0.918918918918919,0.95,0.9714285714285714,0.9714285714285714,0.9411764705882353,0.9142857142857143
20,0.95,1.0,0.8947368421052632,0.972972972972973,0.918918918918919,1.0,0.8648648648648649,0.9714285714285714,1.0,0.9375,0.9444444444444444
20,0.9333333333333333,1.0,0.8888888888888888,0.9142857142857143,0.8888888888888888,0.9714285714285714,0.9714285714285714,0.9743589743589743,0.9411764705882353,0.8717948717948718,0.9142857142857143
20,0.95,1.0,0.8947368421052632,0.9473684210526315,0.9714285714285714,1.0,0.9714285714285714,1.0,0.972972972972973,0.8333333333333334,0.9090909090909091
20,0.9666666666666667,1.0,0.972972972972973,0.972972972972973,0.9714285714285714,0.918918918918919,0.9411764705882353,0.9714285714285714,0.972972972972973,0.9714285714285714,0.972972972972973
20,0.9777777777777777,1.0,0.972972972972973,0.972972972972973,1.0,0.9714285714285714,1.0,1.0,0.972972972972973,0.9444444444444444,0.9411764705882353
20,0.9441340782122905,0.972972972972973,0.9714285714285714,0.9714285714285714,0.918918918918919,0.972972972972973,0.9142857142857143,0.9714285714285714,0.9444444444444444,0.8484848484848485,0.9473684210526315
20,0.9553072625698324,1.0,0.9743589743589743,1.0,0.9142857142857143,1.0,1.0,0.972972972972973,0.9714285714285714,0.8125,0.9
20,0.9497206703910615,0.9714285714285714,0.9473684210526315,0.9714285714285714,0.918918918918919,0.9714285714285714,0.972972972972973,0.9444444444444444,0.9473684210526315,0.9090909090909091,0.9411764705882353
50,0.9833333333333333,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,0.9714285714285714,0.9696969696969697,0.9230769230769231
50,0.9722222222222222,0.9714285714285714,1.0,1.0,1.0,0.918918918918919,0.9743589743589743,0.9714285714285714,1.0,0.8823529411764706,1.0
50,0.9666666666666667,0.972972972972973,0.9444444444444444,1.0,0.9473684210526315,1.0,0.9230769230769231,1.0,1.0,0.9375,0.9411764705882353
50,0.95,1.0,1.0,0.9714285714285714,0.8888888888888888,0.9444444444444444,0.918918918918919,0.9743589743589743,0.8823529411764706,0.9444444444444444,0.9714285714285714
50,0.9833333333333333,1.0,0.9473684210526315,1.0,0.9714285714285714,1.0,1.0,1.0,1.0,0.9444444444444444,0.9714285714285714
50,0.9777777777777777,1.0,0.972972972972973,0.9714285714285714,1.0,0.9444444444444444,0.9714285714285714,1.0,0.972972972972973,0.9714285714285714,0.972972972972973
50,0.9777777777777777,1.0,0.972972972972973,0.9714285714285714,1.0,0.9714285714285714,0.972972972972973,1.0,0.972972972972973,0.9444444444444444,0.9714285714285714
50,0.9720670391061452,0.972972972972973,1.0,0.9714285714285714,0.9743589743589743,1.0,0.9714285714285714,1.0,0.972972972972973,0.875,0.9714285714285714
50,0.9832402234636871,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.9444444444444444,0.9142857142857143,1.0
50,0.9608938547486033,0.9714285714285714,0.9743589743589743,1.0,0.9444444444444444,0.9714285714285714,1.0,0.9714285714285714,0.972972972972973,0.8648648648648649,0.9411764705882353
100,0.9833333333333333,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.9714285714285714,0.9444444444444444
100,0.9777777777777777,0.9714285714285714,1.0,1.0,1.0,0.9444444444444444,0.9743589743589743,0.9714285714285714,0.972972972972973,0.9411764705882353,1.0
100,0.9611111111111111,1.0,0.918918918918919,1.0,0.972972972972973,1.0,0.8947368421052632,0.9714285714285714,1.0,0.9696969696969697,0.8888888888888888
100,0.9722222222222222,1.0,1.0,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9444444444444444,0.9743589743589743,0.9714285714285714,0.9473684210526315,0.9714285714285714
100,0.9777777777777777,1.0,0.9473684210526315,1.0,0.9714285714285714,1.0,1.0,1.0,0.9473684210526315,0.9411764705882353,0.9714285714285714
100,0.9833333333333333,1.0,1.0,1.0,0.972972972972973,0.9444444444444444,0.9714285714285714,1.0,1.0,1.0,0.9444444444444444
