k,accuracy,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
10,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
10,0.9776536312849162,1.0,0.9473684210526315,1.0,0.9743589743589743,0.9714285714285714,0.9714285714285714,0.972972972972973,1.0,0.9696969696969697,0.9714285714285714
10,0.9720670391061452,1.0,0.95,1.0,0.972972972972973,0.972972972972973,0.9714285714285714,1.0,0.972972972972973,0.9375,0.9444444444444444
10,0.9664804469273743,1.0,1.0,0.9696969696969697,0.9473684210526315,0.9411764705882353,0.972972972972973,1.0,0.9230769230769231,0.9714285714285714,0.9411764705882353
11,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714
11,0.9833333333333333,1.0,0.972972972972973,1.0,0.9714285714285714,1.0,0.95,1.0,1.0,0.9696969696969697,0.9714285714285714
11,0.9888888888888889,1.0,0.972972972972973,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9696969696969697,0.9714285714285714
11,0.9944444444444445,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9714285714285714,1.0,1.0
11,0.9944444444444445,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
11,0.9777777777777777,1.0,0.9473684210526315,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714,1.0,0.9142857142857143,0.972972972972973
11,0.9888888888888889,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0
11,0.9832402234636871,1.0,0.9473684210526315,1.0,1.0,0.9714285714285714,0.9714285714285714,0.972972972972973,1.0,0.9696969696969697,1.0
11,0.9720670391061452,1.0,0.95,1.0,0.972972972972973,0.972972972972973,0.9714285714285714,1.0,0.972972972972973,0.9375,0.9444444444444444
11,0.9664804469273743,1.0,1.0,0.9696969696969697,0.9473684210526315,0.9411764705882353,0.972972972972973,1.0,0.972972972972973,0.918918918918919,0.9411764705882353
12,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714
12,0.9888888888888889,1.0,1.0,1.0,0.9714285714285714,1.0,0.95,1.0,1.0,1.0,0.9714285714285714
12,0.9888888888888889,1.0,0.972972972972973,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9696969696969697,0.9714285714285714
12,0.9944444444444445,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9714285714285714,1.0,1.0
12,0.9944444444444445,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
12,0.9777777777777777,1.0,0.9473684210526315,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714,1.0,0.9142857142857143,0.972972972972973
12,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
12,0.9776536312849162,1.0,0.9473684210526315,1.0,0.9743589743589743,0.9714285714285714,0.9714285714285714,0.972972972972973,1.0,0.9696969696969697,0.9714285714285714
12,0.9720670391061452,1.0,0.95,1.0,0.972972972972973,0.972972972972973,0.9714285714285714,1.0,0.972972972972973,0.9375,0.9444444444444444
12,0.9664804469273743,1.0,1.0,0.9696969696969697,0.9743589743589743,0.9411764705882353,0.972972972972973,1.0,0.9473684210526315,0.9444444444444444,0.9090909090909091
13,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714
13,0.9888888888888889,1.0,1.0,1.0,0.9714285714285714,1.0,0.95,1.0,1.0,1.0,0.9714285714285714
13,0.9888888888888889,1.0,0.972972972972973,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9696969696969697,0.9714285714285714
13,0.9944444444444445,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9714285714285714,1.0,1.0
13,0.9888888888888889,1.0,0.972972972972973,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9411764705882353,1.0
13,0.9777777777777777,1.0,0.9230769230769231,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714,1.0,0.9411764705882353,0.972972972972973
13,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
13,0.9776536312849162,1.0,0.9473684210526315,1.0,0.9743589743589743,0.9714285714285714,0.9714285714285714,0.972972972972973,1.0,0.9696969696969697,0.9714285714285714
13,0.9720670391061452,1.0,0.95,1.0,0.972972972972973,1.0,0.9714285714285714,1.0,0.9473684210526315,0.9375,0.9444444444444444
13,0.9664804469273743,1.0,1.0,0.9696969696969697,0.9743589743589743,0.9411764705882353,0.972972972972973,1.0,0.972972972972973,0.918918918918919,0.9090909090909091
