k,accuracy,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
3,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
3,0.9888268156424581,1.0,1.0,1.0,0.9743589743589743,1.0,0.9714285714285714,0.972972972972973,1.0,1.0,0.9714285714285714
3,0.9776536312849162,1.0,0.9743589743589743,1.0,0.972972972972973,0.972972972972973,0.9714285714285714,1.0,0.972972972972973,0.9696969696969697,0.9444444444444444
3,0.9832402234636871,1.0,1.0,1.0,0.9743589743589743,1.0,0.972972972972973,1.0,1.0,0.9714285714285714,0.9090909090909091
4,0.9888888888888889,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,0.972972972972973,0.9714285714285714,0.9714285714285714
4,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,0.9714285714285714
4,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
4,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,0.972972972972973
4,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,0.972972972972973,0.9714285714285714,0.9714285714285714,0.972972972972973
4,0.9833333333333333,1.0,0.9473684210526315,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9411764705882353,0.972972972972973
4,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
4,0.9888268156424581,1.0,1.0,1.0,0.9743589743589743,1.0,0.9714285714285714,0.972972972972973,1.0,1.0,0.9714285714285714
4,0.9832402234636871,1.0,0.9743589743589743,1.0,0.972972972972973,0.972972972972973,1.0,1.0,0.972972972972973,0.9696969696969697,0.9714285714285714
4,0.9720670391061452,1.0,1.0,0.9696969696969697,0.9743589743589743,0.9714285714285714,0.972972972972973,1.0,0.972972972972973,0.9714285714285714,0.8823529411764706
5,0.9888888888888889,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,0.972972972972973,0.9714285714285714,0.9714285714285714
5,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,0.9714285714285714
5,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
5,0.9944444444444445,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9714285714285714,1.0,1.0
5,0.9944444444444445,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
5,0.9833333333333333,1.0,0.972972972972973,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714,1.0,0.9444444444444444,0.972972972972973
5,0.9888888888888889,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0
5,0.9888268156424581,1.0,1.0,1.0,0.9743589743589743,1.0,0.9714285714285714,0.972972972972973,1.0,1.0,0.9714285714285714
5,0.9832402234636871,1.0,0.9743589743589743,1.0,0.972972972972973,0.972972972972973,1.0,1.0,0.972972972972973,0.9696969696969697,0.9714285714285714
5,0.9720670391061452,1.0,1.0,0.9696969696969697,0.9743589743589743,0.9411764705882353,0.972972972972973,1.0,0.972972972972973,0.9714285714285714,0.9142857142857143
6,0.9888888888888889,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,0.972972972972973,0.9714285714285714,0.9714285714285714
6,0.9888888888888889,1.0,0.972972972972973,1.0,1.0,1.0,0.9743589743589743,0.9714285714285714,1.0,1.0,0.9714285714285714
6,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
6,0.9944444444444445,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9714285714285714,1.0,1.0
6,0.9944444444444445,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
6,0.9777777777777777,1.0,0.9473684210526315,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714,1.0,0.9142857142857143,0.972972972972973
6,0.9888888888888889,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0
6,0.9888268156424581,1.0,1.0,1.0,0.9743589743589743,1.0,0.9714285714285714,0.972972972972973,1.0,1.0,0.9714285714285714
6,0.9832402234636871,1.0,0.9743589743589743,1.0,0.972972972972973,0.972972972972973,1.0,1.0,0.972972972972973,0.9696969696969697,0.9714285714285714
6,0.9664804469273743,1.0,1.0,0.9696969696969697,0.9743589743589743,0.9411764705882353,0.972972972972973,1.0,0.972972972972973,0.9444444444444444,0.8823529411764706
7,0.9888888888888889,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,0.972972972972973,0.9714285714285714,0.9714285714285714
7,0.9888888888888889,1.0,1.0,1.0,0.9714285714285714,1.0,0.95,1.0,1.0,1.0,0.9714285714285714
7,0.9888888888888889,1.0,0.972972972972973,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9696969696969697,0.9714285714285714
7,0.9944444444444445,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9714285714285714,1.0,1.0
7,0.9944444444444445,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
7,0.9833333333333333,1.0,0.972972972972973,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714,1.0,0.9444444444444444,0.972972972972973
7,0.9888888888888889,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0
7,0.9832402234636871,1.0,0.972972972972973,1.0,0.9743589743589743,1.0,0.9714285714285714,0.972972972972973,1.0,0.9696969696969697,0.9714285714285714
7,0.9776536312849162,1.0,0.9743589743589743,1.0,0.972972972972973,0.972972972972973,0.9714285714285714,1.0,0.972972972972973,0.9696969696969697,0.9444444444444444
7,0.9608938547486033,1.0,1.0,0.9696969696969697,0.9473684210526315,0.9411764705882353,0.972972972972973,1.0,0.972972972972973,0.918918918918919,0.8823529411764706
8,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714
8,0.9888888888888889,1.0,1.0,1.0,0.9714285714285714,1.0,0.95,1.0,1.0,1.0,0.9714285714285714
8,0.9888888888888889,1.0,0.972972972972973,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9696969696969697,0.9714285714285714
8,0.9944444444444445,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9714285714285714,1.0,1.0
8,0.9944444444444445,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
8,0.9777777777777777,1.0,0.9473684210526315,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714,1.0,0.9142857142857143,0.972972972972973
8,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
8,0.9832402234636871,1.0,0.972972972972973,1.0,0.9743589743589743,1.0,0.9714285714285714,0.972972972972973,1.0,0.9696969696969697,0.9714285714285714
8,0.9832402234636871,1.0,0.9743589743589743,1.0,0.972972972972973,0.972972972972973,1.0,1.0,0.972972972972973,0.9696969696969697,0.9714285714285714
8,0.9664804469273743,1.0,1.0,0.9696969696969697,0.9743589743589743,0.9411764705882353,0.972972972972973,1.0,0.972972972972973,0.918918918918919,0.9090909090909091
9,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714
9,0.9888888888888889,1.0,1.0,1.0,0.9714285714285714,1.0,0.95,1.0,1.0,1.0,0.9714285714285714
9,0.9888888888888889,1.0,0.972972972972973,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9696969696969697,0.9714285714285714
9,0.9944444444444445,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9714285714285714,1.0,1.0
9,0.9888888888888889,1.0,0.972972972972973,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9411764705882353,1.0
9,0.9777777777777777,1.0,0.9230769230769231,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714,1.0,0.9411764705882353,0.972972972972973
9,0.9888888888888889,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0
9,0.9832402234636871,1.0,0.972972972972973,1.0,0.9743589743589743,1.0,0.9714285714285714,0.972972972972973,1.0,0.9696969696969697,0.9714285714285714
9,0.9720670391061452,1.0,0.95,1.0,0.972972972972973,0.972972972972973,0.9714285714285714,1.0,0.972972972972973,0.9375,0.9444444444444444
9,0.9664804469273743,1.0,1.0,0.9696969696969697,0.9473684210526315,0.9411764705882353,0.972972972972973,1.0,0.972972972972973,0.918918918918919,0.9411764705882353
10,0.9888888888888889,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,0.972972972972973,0.9714285714285714,0.9714285714285714
10,0.9888888888888889,1.0,1.0,1.0,0.9714285714285714,1.0,0.95,1.0,1.0,1.0,0.9714285714285714
10,0.9888888888888889,1.0,0.972972972972973,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9696969696969697,0.9714285714285714
10,0.9944444444444445,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9714285714285714,1.0,1.0
10,0.9888888888888889,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714,0.972972972972973
10,0.9777777777777777,1.0,0.9473684210526315,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714,1.0,0.9142857142857143,0.972972972972973
