hyperparameters,k,accuracy,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
ignore,1,0.9888888888888889,1.0,1.0,0.9714285714285714,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
ignore,1,0.9777777777777777,1.0,1.0,1.0,0.972972972972973,1.0,0.918918918918919,0.972972972972973,1.0,1.0,0.9142857142857143
ignore,1,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,1.0
ignore,1,0.9777777777777777,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,0.9696969696969697,0.972972972972973,0.8947368421052632
ignore,1,0.9833333333333333,1.0,0.9473684210526315,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9714285714285714,0.9411764705882353
ignore,1,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
ignore,1,0.9833333333333333,1.0,1.0,1.0,1.0,0.972972972972973,0.972972972972973,1.0,1.0,0.972972972972973,0.9090909090909091
ignore,1,0.994413407821229,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,1.0
ignore,1,0.9832402234636871,1.0,0.95,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,0.9375,0.972972972972973
ignore,1,0.994413407821229,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
ignore,2,0.9888888888888889,1.0,1.0,0.9714285714285714,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
ignore,2,0.9777777777777777,1.0,1.0,1.0,0.972972972972973,1.0,0.918918918918919,0.972972972972973,1.0,1.0,0.9142857142857143
ignore,2,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,1.0
ignore,2,0.9777777777777777,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,0.9696969696969697,0.972972972972973,0.8947368421052632
ignore,2,0.9833333333333333,1.0,0.9473684210526315,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9714285714285714,0.9411764705882353
ignore,2,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
ignore,2,0.9833333333333333,1.0,1.0,1.0,1.0,0.972972972972973,0.972972972972973,1.0,1.0,0.972972972972973,0.9090909090909091
ignore,2,0.994413407821229,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,1.0
ignore,2,0.9832402234636871,1.0,0.95,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,0.9375,0.972972972972973
ignore,2,0.994413407821229,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
ignore,3,0.9833333333333333,1.0,1.0,0.9714285714285714,0.918918918918919,1.0,1.0,1.0,0.972972972972973,1.0,0.9714285714285714
ignore,3,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.972972972972973,1.0,1.0,0.972972972972973
ignore,3,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,1.0
ignore,3,0.9777777777777777,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,0.9696969696969697,0.972972972972973,0.8947368421052632
ignore,3,0.9722222222222222,1.0,0.9473684210526315,1.0,0.9444444444444444,1.0,0.972972972972973,1.0,1.0,0.9714285714285714,0.8823529411764706
ignore,3,0.9888888888888889,1.0,0.972972972972973,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714
ignore,3,0.9888888888888889,1.0,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.972972972972973,0.9411764705882353
ignore,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ignore,3,0.9832402234636871,1.0,0.9743589743589743,1.0,0.972972972972973,0.9714285714285714,1.0,1.0,0.972972972972973,0.9696969696969697,0.972972972972973
ignore,3,0.994413407821229,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
ignore,4,0.9833333333333333,1.0,1.0,0.9714285714285714,0.918918918918919,1.0,1.0,1.0,0.972972972972973,1.0,0.9714285714285714
ignore,4,0.9722222222222222,1.0,1.0,1.0,0.972972972972973,1.0,0.918918918918919,0.9473684210526315,1.0,0.9696969696969697,0.9142857142857143
ignore,4,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,1.0
ignore,4,0.9777777777777777,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,0.9696969696969697,0.972972972972973,0.8947368421052632
ignore,4,0.9777777777777777,1.0,0.9473684210526315,1.0,0.972972972972973,1.0,0.972972972972973,1.0,1.0,0.9714285714285714,0.9090909090909091
ignore,4,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
ignore,4,0.9888888888888889,1.0,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.972972972972973,0.9411764705882353
ignore,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ignore,4,0.9832402234636871,1.0,0.9743589743589743,1.0,0.972972972972973,1.0,1.0,1.0,0.972972972972973,0.9375,0.972972972972973
ignore,4,0.994413407821229,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
ignore,5,0.9777777777777777,1.0,1.0,0.9714285714285714,0.918918918918919,1.0,1.0,0.9714285714285714,0.972972972972973,0.9714285714285714,0.9714285714285714
ignore,5,0.9722222222222222,1.0,1.0,1.0,0.972972972972973,0.9714285714285714,0.918918918918919,0.972972972972973,0.972972972972973,0.9696969696969697,0.9444444444444444
ignore,5,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,1.0
ignore,5,0.9833333333333333,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,0.9696969696969697,0.972972972972973,0.918918918918919
ignore,5,0.9833333333333333,1.0,0.972972972972973,1.0,0.972972972972973,1.0,0.972972972972973,1.0,1.0,1.0,0.9090909090909091
ignore,5,0.9888888888888889,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0
ignore,5,0.9944444444444445,1.0,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9714285714285714
ignore,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ignore,5,0.9832402234636871,1.0,0.9743589743589743,1.0,0.972972972972973,0.9714285714285714,1.0,1.0,0.972972972972973,0.9411764705882353,1.0
ignore,5,0.994413407821229,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
ignore,6,0.9833333333333333,1.0,1.0,0.9714285714285714,0.972972972972973,1.0,1.0,0.9714285714285714,0.972972972972973,0.9714285714285714,0.9714285714285714
ignore,6,0.9722222222222222,1.0,1.0,1.0,0.972972972972973,0.9714285714285714,0.918918918918919,0.972972972972973,0.972972972972973,0.9696969696969697,0.9444444444444444
ignore,6,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,1.0
ignore,6,0.9833333333333333,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,0.9696969696969697,0.972972972972973,0.918918918918919
ignore,6,0.9722222222222222,1.0,0.9473684210526315,1.0,0.972972972972973,0.9714285714285714,0.972972972972973,1.0,0.972972972972973,0.9714285714285714,0.9090909090909091
ignore,6,0.9888888888888889,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0
ignore,6,0.9888888888888889,1.0,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.972972972972973,0.9411764705882353
ignore,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ignore,6,0.9776536312849162,1.0,0.9743589743589743,1.0,0.972972972972973,0.9714285714285714,1.0,1.0,0.972972972972973,0.9090909090909091,0.972972972972973
ignore,6,0.994413407821229,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
ignore,7,0.9833333333333333,1.0,1.0,0.9714285714285714,0.972972972972973,1.0,1.0,0.9714285714285714,0.972972972972973,0.9714285714285714,0.9714285714285714
ignore,7,0.9666666666666667,1.0,0.972972972972973,1.0,0.972972972972973,0.9714285714285714,0.918918918918919,0.972972972972973,0.972972972972973,0.9375,0.9444444444444444
ignore,7,0.9777777777777777,1.0,0.9473684210526315,1.0,0.9444444444444444,1.0,0.9743589743589743,1.0,1.0,0.9032258064516129,1.0
ignore,7,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.972972972972973,0.9444444444444444
ignore,7,0.9777777777777777,1.0,0.972972972972973,1.0,0.9714285714285714,0.9714285714285714,0.972972972972973,1.0,0.972972972972973,0.972972972972973,0.9411764705882353
ignore,7,0.9833333333333333,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,1.0
ignore,7,0.9888888888888889,1.0,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.972972972972973,0.9411764705882353
ignore,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ignore,7,0.9832402234636871,1.0,0.9743589743589743,1.0,0.972972972972973,0.9714285714285714,1.0,1.0,0.972972972972973,0.9411764705882353,1.0
ignore,7,0.994413407821229,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
ignore,8,0.9833333333333333,1.0,1.0,0.9714285714285714,0.972972972972973,1.0,1.0,0.9714285714285714,0.972972972972973,0.9714285714285714,0.9714285714285714
ignore,8,0.9666666666666667,1.0,0.972972972972973,1.0,0.972972972972973,0.9714285714285714,0.918918918918919,0.972972972972973,0.972972972972973,0.9375,0.9444444444444444
ignore,8,0.9777777777777777,1.0,0.9473684210526315,1.0,0.9444444444444444,1.0,0.9743589743589743,1.0,1.0,0.9032258064516129,1.0
ignore,8,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.972972972972973,0.9444444444444444
ignore,8,0.9722222222222222,1.0,0.9473684210526315,1.0,0.972972972972973,0.9714285714285714,0.972972972972973,1.0,0.972972972972973,0.9714285714285714,0.9090909090909091
ignore,8,0.9888888888888889,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0
ignore,8,0.9888888888888889,1.0,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.972972972972973,0.9411764705882353
ignore,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ignore,8,0.9832402234636871,1.0,0.9743589743589743,1.0,0.972972972972973,0.9714285714285714,1.0,1.0,0.972972972972973,0.9411764705882353,1.0
ignore,8,0.994413407821229,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
ignore,9,0.9833333333333333,1.0,0.972972972972973,0.9714285714285714,0.972972972972973,1.0,1.0,0.9714285714285714,0.972972972972973,1.0,0.9714285714285714
ignore,9,0.9666666666666667,1.0,0.972972972972973,1.0,0.972972972972973,0.9714285714285714,0.918918918918919,0.972972972972973,0.972972972972973,0.9375,0.9444444444444444
ignore,9,0.9777777777777777,1.0,0.9473684210526315,1.0,0.9444444444444444,1.0,0.9743589743589743,1.0,1.0,0.9032258064516129,1.0
ignore,9,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.972972972972973,0.9444444444444444
ignore,9,0.9722222222222222,1.0,0.9473684210526315,1.0,0.9714285714285714,0.9714285714285714,0.972972972972973,1.0,0.972972972972973,0.9444444444444444,0.9411764705882353
ignore,9,0.9833333333333333,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,1.0
ignore,9,0.9944444444444445,1.0,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9714285714285714
ignore,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ignore,9,0.9832402234636871,1.0,0.9743589743589743,1.0,0.972972972972973,0.9714285714285714,1.0,1.0,0.972972972972973,0.9411764705882353,1.0
ignore,9,0.994413407821229,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
ignore,10,0.9833333333333333,1.0,1.0,0.9714285714285714,0.972972972972973,1.0,1.0,0.9714285714285714,0.972972972972973,0.9714285714285714,0.9714285714285714
ignore,10,0.9666666666666667,1.0,0.972972972972973,1.0,0.972972972972973,0.9714285714285714,0.918918918918919,0.972972972972973,0.972972972972973,0.9375,0.9444444444444444
ignore,10,0.9777777777777777,1.0,0.9473684210526315,1.0,0.9444444444444444,1.0,0.9743589743589743,1.0,1.0,0.9032258064516129,1.0
ignore,10,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.972972972972973,0.9444444444444444
ignore,10,0.9666666666666667,1.0,0.9473684210526315,1.0,0.9444444444444444,0.9714285714285714,0.972972972972973,1.0,0.972972972972973,0.9444444444444444,0.9090909090909091
ignore,10,0.9833333333333333,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,1.0
ignore,10,0.9888888888888889,1.0,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.972972972972973,0.9411764705882353
ignore,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ignore,10,0.9776536312849162,1.0,0.9743589743589743,1.0,0.972972972972973,0.9714285714285714,1.0,1.0,0.972972972972973,0.9090909090909091,0.972972972972973
ignore,10,0.994413407821229,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
ignore,11,0.9888888888888889,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,0.9714285714285714,0.972972972972973,0.9714285714285714,1.0
ignore,11,0.9666666666666667,1.0,0.972972972972973,1.0,0.972972972972973,0.9714285714285714,0.918918918918919,0.972972972972973,0.972972972972973,0.9375,0.9444444444444444
ignore,11,0.9777777777777777,1.0,0.9473684210526315,1.0,0.9444444444444444,1.0,0.9743589743589743,1.0,1.0,0.9032258064516129,1.0
ignore,11,0.9833333333333333,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,0.9696969696969697,0.972972972972973,0.918918918918919
ignore,11,0.9722222222222222,1.0,0.9473684210526315,1.0,0.9714285714285714,0.9714285714285714,0.972972972972973,1.0,0.972972972972973,0.9444444444444444,0.9411764705882353
ignore,11,0.9833333333333333,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,1.0
ignore,11,0.9888888888888889,1.0,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.972972972972973,0.9411764705882353
ignore,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ignore,11,0.9832402234636871,1.0,0.9743589743589743,1.0,0.972972972972973,0.9714285714285714,1.0,1.0,0.972972972972973,0.9411764705882353,1.0
ignore,11,0.994413407821229,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
